YEAR/MONTH,RAINFALL_KONKAN & GOA,RAINFALL_MADHYA MAHARASHTRA,RAINFALL_MARATHVADA,RAINFALL_VIDHARBA,RAINFALL_CHHATTISGARH
Jan-01,5.6,18.8,15.8,36.8,48.9
Feb-01,0.1,0.6,3.3,39.9,116.5
Mar-01,0.4,7.7,32.1,30.9,27.8
Apr-01,35.7,36.6,48.5,26.1,5.5
May-01,19.9,30.4,26.5,7.3,18.4
Jun-01,746.1,107.7,193.1,129.7,101.6
Jul-01,1075.5,215.9,184.1,295.3,381
Aug-01,748,194.1,249.8,368.8,476.7
Sep-01,117.4,83.7,74,123.4,182.8
Oct-01,38.6,68.7,81.6,35.2,27.3
Nov-01,5.4,4.4,0,0,0.4
Dec-01,0.1,0.5,0,0,0
Jan-02,0.3,7.8,1.3,1.6,0.6
Feb-02,0,0,0,0.1,6.5
Mar-02,0,0.1,0.4,0,0.4
Apr-02,0.4,5,7.2,6.5,13.9
May-02,7.6,9.8,0.8,4.1,10.3
Jun-02,428.2,102.6,52.4,38,37.2
Jul-02,943.6,210.9,120.9,270.7,403.8
Aug-02,515.1,114.5,85.2,204.7,236.6
Sep-02,613.8,169.5,273.3,150.9,198.1
Oct-02,74.3,60.4,61.3,29.6,4.7
Nov-02,42.7,40.5,84.4,16.1,8.1
Dec-02,48,62.9,56.9,26.7,3.7
Jan-03,0,7.6,2.6,5.2,6.2
Feb-03,0,0,0.8,4,13.9
Mar-03,0.1,0,0,0.1,0.4
Apr-03,0,3.2,1.7,2.5,6.8
May-03,201.1,77.2,58.3,37.8,51.1
Jun-03,470.5,86.3,104.4,121.2,110.7
Jul-03,1298.6,281.8,264.2,475.5,365.9
Aug-03,673.9,155.5,281.9,325.5,396
Sep-03,285.1,142.3,173.3,154.8,212
Oct-03,140.8,74.2,139.9,100.8,168
Nov-03,12.4,7.6,0.3,2,0.1
Dec-03,1.7,2.2,5.3,0,0
Jan-04,0,0.4,0,4.3,0
Feb-04,0.1,4.7,0.9,2.4,8.6
Mar-04,6.6,1.7,12.1,12.9,32.3
Apr-04,6.3,3,0.3,0.2,0.2
May-04,4.6,18.7,7.2,14.8,77.5
Jun-04,975.8,114.6,79.2,148.9,369.5
Jul-04,771.7,126.5,118.4,158.3,303.6
Aug-04,321.3,59.5,57.3,151.8,483.6
Sep-04,217,183,339,196.9,86.8
Oct-04,90.3,91.1,76.2,61.7,129.3
Nov-04,0,0,0,0,1
Dec-04,0,0.4,0,0.9,0
Jan-05,0.1,0,1.3,7.3,50.3
Feb-05,0.1,1.2,2,12.7,22.6
Mar-05,0,0,0,12.4,19
Apr-05,0.4,2.3,6.6,16.2,24.6
May-05,8.6,23.6,4.8,14,31.8
Jun-05,293.7,65,84.6,81,40.4
Jul-05,770.6,252.8,94.8,254.5,443.7
Aug-05,305.5,79,137.6,216.3,270.8
Sep-05,208.3,52.6,157.8,321.3,338.8
Oct-05,83.5,52.9,15.4,6,8.9
Nov-05,12.1,8.3,0.9,0.2,0
Dec-05,0,0,0,0,0
Jan-06,5,10.5,19.8,12.9,25
Feb-06,0.9,0.8,0,3.3,91
Mar-06,0,0,0.1,11.9,52.5
Apr-06,0,0.1,0,0.2,0
May-06,2.9,9.3,0.2,6.1,4.1
Jun-06,547.4,184.8,220.6,328.1,210.1
Jul-06,1090.9,199.3,254.9,350.4,445.2
Aug-06,506.7,205,156.9,325.8,258.3
Sep-06,222.5,88.8,82.1,113.3,242.3
Oct-06,31.6,19.1,19.8,6.9,41.2
Nov-06,10.2,15.5,3.9,14.3,10.2
Dec-06,0.7,11.1,12.4,18.1,14.7
Jan-07,1.7,0.5,1,3.6,4
Feb-07,1,3.7,6.6,52.9,40.2
Mar-07,0,1.5,1.1,3.7,41.7
Apr-07,20.1,54.5,61.3,45.3,39.4
May-07,0,0.6,0,1.6,4.5
Jun-07,583.1,118,90.4,181.4,286.5
Jul-07,1170.9,262.3,198.9,309.7,233.6
Aug-07,811.5,267.8,155.2,332.6,494.4
Sep-07,164,94.1,34.7,59.7,141.8
Oct-07,11.4,7.6,5,0.2,0.1
Nov-07,1.9,3.6,0,15.7,7.3
Dec-07,0.9,0.9,3.7,4.3,15.3
Jan-08,0.9,0.3,0,4.1,8.4
Feb-08,1.1,0,0.8,15.5,67.1
Mar-08,0,4.7,13,13.5,6.3
Apr-08,2.3,6.3,2.9,5.7,1.5
May-08,1,5.8,1.6,1.5,6.5
Jun-08,440,85.1,100.7,232,182.4
Jul-08,1391.8,263,124.4,355.2,465.9
Aug-08,649.8,169.9,176.8,398.4,590
Sep-08,222.4,166.6,261.9,205.9,146.7
Oct-08,24.6,16.3,0.4,7.8,12.9
Nov-08,1.6,4,0,0,0
Dec-08,0,0,0,3.9,1.1
Jan-09,0.1,1.2,5.5,1.3,11.3
Feb-09,0,0.1,1.6,10,5.8
Mar-09,0.1,0.7,8.4,4.8,3.1
Apr-09,0.3,1.4,4.2,31.5,112.8
May-09,7.8,38.5,22.2,17.9,6.1
Jun-09,759.5,179.6,217.2,157.1,266.1
Jul-09,1301.8,247,194.3,405,473.9
Aug-09,381.5,101.6,173.8,176,210.8
Sep-09,384.4,146.2,223.5,160.3,142.8
Oct-09,17.5,31.1,21.4,7.3,6.7
Nov-09,7.4,3.1,0.4,0,0
Dec-09,0.1,4.7,20.3,90.6,44.7
Jan-10,0,0,0,0,9
Feb-10,0,0,0,0,0.6
Mar-10,0.3,1,0.9,0,3.7
Apr-10,0,0,0,0.1,21.5
May-10,2.6,13.1,3.1,10,13.3
Jun-10,832.4,204.6,202.1,289.1,246
Jul-10,407.8,172,166.7,297.4,296.6
Aug-10,763.2,228.6,188.5,278.7,441.4
Sep-10,374.6,195.7,467.9,300.3,265.2
Oct-10,121.4,70,59.7,57.7,92.6
Nov-10,41.7,30.2,45.3,60.8,17.4
Dec-10,0,0,0,0,0
Jan-11,0.2,2,6.4,18.2,2.2
Feb-11,0,0.1,0,0,0
Mar-11,3.2,2.2,0,2.2,21.7
Apr-11,0,0.2,0,0,0.8
May-11,17.1,12,3,2.6,9
Jun-11,543.6,136.9,85.5,218,366.7
Jul-11,585.6,137.7,231.9,205.9,215.7
Aug-11,750.3,153.2,175,292.3,474.6
Sep-11,175.5,29.9,68.6,176.1,244.6
Oct-11,34.2,23.6,0.2,27.5,131.6
Nov-11,21.4,42.9,41.8,39.9,37.4
Dec-11,3.6,3.8,0,0,0
Jan-12,0,0,0,0.6,3.1
Feb-12,0,0.4,13.7,49.3,73.9
Mar-12,0,0,0,0.2,1
Apr-12,4.1,9,6.5,6.1,22.6
May-12,28.9,20.9,9.5,7.2,11.3
Jun-12,671,88.3,62.9,54.2,62.3
Jul-12,1242.9,307.6,177.3,364.5,422.5
Aug-12,541.7,150,145.9,391.9,411.9
Sep-12,135.2,34.7,34.6,117,194
Oct-12,71.9,86,22.8,6.9,13
Nov-12,97.5,67.7,15.2,15.6,11.3
Dec-12,0,0.3,0,0.5,0
Jan-13,0,0,0,0,4.3
Feb-13,0,0.2,3.4,24.9,85.4
Mar-13,0,0,0,4,31.8
Apr-13,1.3,8.4,15.1,1.8,4.1
May-13,18.7,34,38.6,17.2,35.8
Jun-13,897.9,259.9,173,199.8,246
Jul-13,1074.3,210.8,245.9,378.3,374.4
Aug-13,321.8,86.6,80.1,244.3,285.6
Sep-13,194.4,82.8,63.7,137.2,122.2
Oct-13,107.5,43.7,21,17.4,24.9
Nov-13,1.6,0.6,0,0.3,6.2
Dec-13,0,5.5,15.9,27.4,14
Jan-14,0,0,0,0,0
Feb-14,0.8,0.4,10.4,13.4,7.9
Mar-14,0,0.3,5.2,12.8,21
Apr-14,0.8,3.7,0.9,39.1,38.6
May-14,1.6,15.2,16.3,15.9,51.5
Jun-14,706.9,188.3,297,239.5,186.1
Jul-14,1370.3,348.8,177.2,341.2,493.8
Aug-14,797.6,204.3,151.7,245.6,373
Sep-14,549.9,211.6,258.3,266.6,234.1
Oct-14,21.9,22.1,23.9,6.1,5
Nov-14,11.2,36.6,20.9,5.7,0.2
Dec-14,3.6,7.6,27.3,13.1,6.8
Jan-15,0,8.6,28,33.3,25
Feb-15,4.7,6.6,2.6,9.1,42.4
Mar-15,5.9,13.9,55.9,65.9,19.7
Apr-15,10.2,21.9,18.9,18.9,16.6
May-15,7.7,12.1,11.5,13.1,21.2
Jun-15,845.1,195.2,207.8,190.2,131.3
Jul-15,734.4,225.4,146.8,311,364.6
Aug-15,355.1,80,96.1,229.6,435.9
Sep-15,412.2,228.5,299.1,195.2,251
Oct-15,137.4,76.8,99.7,111,121
Nov-15,12.8,20.9,10.1,7.4,27.2
Dec-15,0.3,18,25.1,15,0
Jan-16,0,0,0,0,0
Feb-16,0,0.2,5,14.4,26.5
Mar-16,0,0.4,3,0.8,2.1
Apr-16,2.4,4.9,1.7,2.2,6.9
May-16,39.9,55.2,43.6,21.7,20.2
Jun-16,832.7,144.8,149.8,257,325.5
Jul-16,765.6,257.6,374.7,345.3,289.4
Aug-16,851.1,185.9,139.7,306.2,374.6
Sep-16,620.1,217.5,305.1,253.1,199.2
Oct-16,204.7,136.8,115,124.1,178.4
Nov-16,86.1,69.1,40.3,37.4,20.3
Dec-16,0,0.1,0,0,0
Jan-17,0,0.1,1.7,0.9,3.6
Feb-17,18.4,20,63.5,78.5,63.7
Mar-17,1.2,4.8,10.8,20.6,26.6
Apr-17,0.3,7.7,7,11.5,10.8
May-17,17.5,15.6,17.1,48.9,44
Jun-17,807.6,174.3,176.8,234.9,296.9
Jul-17,675.1,120.6,144.6,350.1,374
Aug-17,902.5,187,259.3,200.3,475.2
Sep-17,567.7,205.2,348.7,328.5,287.8
Oct-17,408,169.5,101.2,120.9,144.1
Nov-17,32.6,33.4,37.5,1.7,0.3
Dec-17,0,0,0,0,0.7
Jan-18,0.1,5.1,0.7,2.5,14.1
Feb-18,0,0.6,0,2.9,4.5
Mar-18,3.3,2.6,0.2,3.1,1.9
Apr-18,0.1,1,0.6,0.2,10.7
May-18,345.4,90.5,121.4,83.1,48.3
Jun-18,334.1,51.7,93.5,278.3,431.2
Jul-18,424.7,68.4,65.9,168,238
Aug-18,578.1,112.4,78.6,174.5,490.9
Sep-18,123.6,55.1,89.9,55.5,122.5
Oct-18,5.8,13.3,4.7,3.4,1.7
Nov-18,52,30,9.8,16.8,4.7
Dec-18,0,7.5,20.7,13.2,8.8
Jan-19,2.5,3,11.9,55.8,98.3
Feb-19,0,0.5,0.9,37,65.2
Mar-19,0,1.2,0.3,15.9,30.1
Apr-19,0,2.7,5.1,6.3,13.5
May-19,9.6,38.2,11.2,19.9,33
Jun-19,643.6,173.5,149.7,325.6,396.5
Jul-19,1120.2,198.9,119.9,280.3,392.9
Aug-19,643.5,153.8,85.3,249.8,511.2
Sep-19,276.8,231.7,228,103.6,152.4
Oct-19,124.5,45.1,28,98,150.6
Nov-19,20.6,28.4,21.4,19.3,13.9
Dec-19,10.5,1.9,1.1,1.1,1.4
Jan-20,14,41.5,27,26.7,1.7
Feb-20,1.2,0.2,0,0.3,2.6
Mar-20,0,0.1,0.3,5.2,21.9
Apr-20,12,9.7,3.1,6.2,25.6
May-20,5.1,8,2.1,4.8,23.4
Jun-20,424.9,120.7,60.4,101.8,97
Jul-20,824,185.9,50.5,237.8,542.5
Aug-20,360.8,94.1,86.1,111.7,391.5
Sep-20,226.7,113.8,127.7,83.3,92
Oct-20,52.4,26,3.8,0.5,5.2
Nov-20,2.9,0.3,0,0,0
Dec-20,0,0,0,0,0
